,id,marca,modelo,preco_minimo,idade_veiculo,km_rodados,tipo_vendedor,tipo_combustivel,tipo_transmissao,potencia_maxima,preco_venda,ipva,ano,estado
106,117,Maruti,Celerio,530000.0,3,5000,particular,Petrol,Automatic,67.04,475000,19000.0,2021,novo
107,118,Ford,Ecosport,1014000.0,4,55000,distribuidora,Diesel,Manual,98.96,685000,27400.0,2020,moderadamente rodado
108,119,Hyundai,Verna,967624.184646262,9,65000,distribuidora,Diesel,Automatic,126.32,380000,15200.0,2015,moderadamente rodado
109,120,Renault,KWID,397000.0,3,22000,particular,Petrol,Manual,67.0,330000,13200.0,2021,novo
110,121,Maruti,Baleno,668000.0,3,7671,concessionária,Petrol,Manual,81.8,650000,26000.0,2021,novo
111,122,Maruti,Wagon R,511000.0,5,66000,particular,Petrol,Manual,67.04,325000,13000.0,2019,moderadamente rodado
112,123,Maruti,Swift Dzire,656000.0,3,45156,distribuidora,Petrol,Automatic,81.8,640000,25600.0,2021,moderadamente rodado
113,124,Hyundai,Venue,719000.0,2,25000,particular,Petrol,Manual,118.35,949000,37960.0,2022,novo
114,125,Nissan,Terrano,1690333.3333333333,6,70000,particular,Diesel,Manual,83.8,750000,30000.0,2018,moderadamente rodado
115,126,Hyundai,Verna,1284000.0,6,120000,particular,Diesel,Manual,126.2,660000,26400.0,2018,rodado
116,127,Maruti,Swift,635000.0,7,28000,distribuidora,Petrol,Manual,85.0,435000,17400.0,2017,novo
117,128,Hyundai,i20,974000.0,8,55000,distribuidora,Diesel,Manual,88.76,385000,15400.0,2016,moderadamente rodado
118,129,Hyundai,Santa,967624.184646262,10,104000,particular,Diesel,Manual,194.3,1000000,40000.0,2014,rodado
119,130,Hyundai,Verna,1309000.0,2,14000,distribuidora,Diesel,Automatic,126.2,1250000,50000.0,2022,novo
120,131,Hyundai,Xcent,967624.184646262,4,18000,particular,Petrol,Manual,81.86,550000,22000.0,2020,novo
121,132,Maruti,Wagon R,530000.0,12,98780,distribuidora,Petrol,Manual,67.1,155000,6200.0,2012,rodado
122,133,Maruti,Swift,614646.3878326996,6,58000,distribuidora,Diesel,Manual,74.0,415000,16600.0,2018,moderadamente rodado
123,134,Maruti,Alto,614646.3878326996,10,30000,particular,Petrol,Manual,67.1,251000,10040.0,2014,moderadamente rodado
124,135,Mahindra,Scorpio,1510000.0,5,46400,distribuidora,Diesel,Manual,120.0,1150000,46000.0,2019,moderadamente rodado
125,136,Hyundai,i10,967624.184646262,7,32111,concessionária,Petrol,Manual,68.05,310000,12400.0,2017,moderadamente rodado
126,137,Datsun,GO,480000.0,6,35000,particular,Petrol,Manual,67.0,350000,14000.0,2018,moderadamente rodado
127,138,Mahindra,Scorpio,1510000.0,4,30000,distribuidora,Diesel,Manual,120.0,1125000,45000.0,2020,moderadamente rodado
128,139,BMW,5,61295152.58855586,5,63000,distribuidora,Diesel,Automatic,261.49,2600000,104000.0,2019,moderadamente rodado
129,141,Datsun,GO,497000.0,3,10000,particular,Petrol,Manual,67.0,480000,19200.0,2021,novo
130,142,Maruti,Swift Dzire,614646.3878326996,4,25000,particular,Diesel,Automatic,74.02,850000,34000.0,2020,novo
131,143,Hyundai,Creta,1170000.0,4,102000,distribuidora,Diesel,Automatic,126.2,1100000,44000.0,2020,rodado
132,144,Maruti,Swift,614646.3878326996,3,35000,distribuidora,Petrol,Manual,81.8,575000,23000.0,2021,moderadamente rodado
133,145,Maruti,Swift Dzire,656000.0,9,49948,distribuidora,Petrol,Manual,85.8,340000,13600.0,2015,moderadamente rodado
134,147,Ford,Ecosport,1015000.0,3,55000,particular,Diesel,Manual,98.96,925000,37000.0,2021,moderadamente rodado
135,148,Hyundai,Grand,648000.0,6,36000,distribuidora,Petrol,Manual,82.0,400000,16000.0,2018,moderadamente rodado
136,149,Hyundai,Xcent,967624.184646262,2,35000,particular,Diesel,Manual,73.97,560000,22400.0,2022,moderadamente rodado
137,150,Honda,City,1268000.0,5,49625,distribuidora,Petrol,Manual,117.3,725000,29000.0,2019,moderadamente rodado
138,151,Maruti,Swift Dzire,614646.3878326996,7,35000,particular,Diesel,Manual,74.0,600000,24000.0,2017,moderadamente rodado
139,152,Mahindra,Scorpio,1479000.0,8,95000,particular,Diesel,Manual,120.0,550000,22000.0,2016,rodado
140,153,Ford,Aspire,972000.0,4,36000,distribuidora,Diesel,Manual,99.0,585000,23400.0,2020,moderadamente rodado
141,154,Maruti,Wagon R,536000.0,2,50000,particular,Petrol,Manual,67.05,411000,16440.0,2022,moderadamente rodado
142,155,Maruti,Swift Dzire,680000.0,6,26500,particular,Petrol,Manual,83.14,450000,18000.0,2018,novo
143,156,Honda,CR-V,3264000.0,6,80000,distribuidora,Petrol,Automatic,153.86,1290000,51600.0,2018,rodado
144,157,Volkswagen,Polo,820416.9884169884,6,46000,distribuidora,Petrol,Manual,74.0,455000,18200.0,2018,moderadamente rodado
145,158,Hyundai,Grand,596000.0,2,9000,particular,Petrol,Manual,81.86,710000,28400.0,2022,novo
146,159,Mahindra,TUV,1399372.0930232557,5,70000,particular,Diesel,Manual,100.0,450000,18000.0,2019,moderadamente rodado
147,160,Toyota,Etios,2876695.0,6,33000,distribuidora,Petrol,Manual,78.9,465000,18600.0,2018,moderadamente rodado
148,161,Honda,City,1268000.0,5,53000,distribuidora,Petrol,Manual,116.3,770000,30800.0,2019,moderadamente rodado
149,164,Ford,Endeavour,3627000.0,3,11387,particular,Diesel,Automatic,197.0,2900000,116000.0,2021,novo
150,165,Honda,Amaze,899000.0,3,50000,particular,Diesel,Manual,98.6,720000,28800.0,2021,moderadamente rodado
151,166,Mahindra,KUV,1399372.0930232557,5,52000,distribuidora,Diesel,Manual,77.0,375000,15000.0,2019,moderadamente rodado
152,168,Datsun,GO,480000.0,6,35000,particular,Petrol,Manual,67.0,400000,16000.0,2018,moderadamente rodado
153,169,Renault,Duster,414304.9645390071,6,48000,particular,Diesel,Manual,83.8,600000,24000.0,2018,moderadamente rodado
154,170,Honda,Jazz,856000.0,3,18000,particular,Petrol,Manual,88.7,600000,24000.0,2021,novo
155,171,Maruti,Wagon R,614646.3878326996,9,57413,particular,LPG,Manual,61.7,270000,10800.0,2015,moderadamente rodado
156,172,Hyundai,i20,763000.0,6,30000,particular,Petrol,Manual,81.83,500000,20000.0,2018,moderadamente rodado
157,173,Hyundai,Verna,1309000.0,6,55000,distribuidora,Diesel,Manual,126.2,650000,26000.0,2018,moderadamente rodado
158,176,Maruti,Swift,629000.0,3,10000,particular,Petrol,Automatic,81.8,660000,26400.0,2021,novo
159,178,BMW,3,61295152.58855586,5,68000,distribuidora,Diesel,Automatic,190.0,2090000,83600.0,2019,moderadamente rodado
160,180,Kia,Seltos,1152000.0,1,8000,distribuidora,Petrol,Manual,113.4,1275000,51000.0,2023,novo
161,181,Toyota,Corolla,2876695.0,9,80000,distribuidora,Petrol,Manual,138.1,455000,18200.0,2015,rodado
162,182,Maruti,Swift,614646.3878326996,6,65000,distribuidora,Diesel,Manual,74.0,495000,19800.0,2018,moderadamente rodado
163,183,Maruti,Ritz,614646.3878326996,11,47000,particular,Petrol,Manual,85.8,220000,8800.0,2013,moderadamente rodado
164,184,Maruti,S-Cross,614646.3878326996,3,185000,particular,Diesel,Manual,88.5,800000,32000.0,2021,rodado
165,185,Hyundai,Santa,967624.184646262,7,68000,distribuidora,Diesel,Automatic,194.3,1295000,51800.0,2017,moderadamente rodado
166,186,Hyundai,Grand,711000.0,5,25000,particular,Petrol,Manual,82.0,475000,19000.0,2019,novo
167,188,Maruti,S-Cross,614646.3878326996,3,7791,particular,Diesel,Manual,88.5,900000,36000.0,2021,novo
168,189,Maruti,Ciaz,942000.0,6,70000,particular,Petrol,Manual,91.1,530000,21200.0,2018,moderadamente rodado
169,191,Hyundai,Verna,1018000.0,6,9100,particular,Petrol,Manual,121.3,650000,26000.0,2018,novo
170,192,Honda,Accord,1210698.5413290113,11,82000,distribuidora,Petrol,Manual,177.6,495000,19800.0,2013,rodado
171,193,Honda,City,1224000.0,11,86000,distribuidora,Petrol,Manual,118.0,335000,13400.0,2013,rodado
172,194,Audi,Q5,7113256.41025641,1,19000,distribuidora,Diesel,Automatic,188.0,4675000,187000.0,2023,novo
173,195,Audi,A4,7113256.41025641,8,78000,distribuidora,Diesel,Automatic,147.51,1290000,51600.0,2016,moderadamente rodado
174,196,Ford,Figo,1050416.6666666667,10,60000,particular,Diesel,Manual,68.0,300000,12000.0,2014,moderadamente rodado
175,197,Maruti,Wagon R,511000.0,2,7883,concessionária,Petrol,Automatic,81.8,550000,22000.0,2022,novo
176,198,Maruti,Swift Dzire,614646.3878326996,8,50205,concessionária,Diesel,Manual,74.0,390000,15600.0,2016,moderadamente rodado
177,199,Mahindra,Bolero,893000.0,13,220000,particular,Diesel,Manual,63.0,260000,10400.0,2011,rodado
178,201,Mahindra,Scorpio,1490000.0,9,170000,particular,Diesel,Manual,120.0,550000,22000.0,2015,rodado
179,202,Maruti,Swift Dzire,662000.0,3,15000,particular,Petrol,Manual,81.8,650000,26000.0,2021,novo
180,203,Maruti,Swift,614646.3878326996,5,71245,distribuidora,Diesel,Manual,74.0,375000,15000.0,2019,moderadamente rodado
181,205,Toyota,Etios,2876695.0,5,52000,distribuidora,Petrol,Manual,88.73,450000,18000.0,2019,moderadamente rodado
182,206,Honda,Brio,1210698.5413290113,6,61000,particular,Petrol,Manual,86.8,335000,13400.0,2018,moderadamente rodado
183,207,Kia,Seltos,1119000.0,2,7000,particular,Petrol,Manual,138.0,1300000,52000.0,2022,novo
184,208,Maruti,Alto,614646.3878326996,3,20000,particular,Petrol,Manual,67.05,360000,14400.0,2021,novo
185,209,Maruti,Celerio,530000.0,1,8700,particular,Petrol,Manual,67.04,505000,20200.0,2023,novo
186,210,Maruti,Alto,347000.0,2,25000,particular,Petrol,Manual,47.3,310000,12400.0,2022,novo
187,211,Hyundai,i20,803000.0,6,42000,distribuidora,Petrol,Manual,81.86,545000,21800.0,2018,moderadamente rodado
188,212,Mahindra,Xylo,1399372.0930232557,12,120000,particular,Diesel,Manual,112.0,300000,12000.0,2012,rodado
189,214,Mahindra,Bolero,905000.0,15,120000,particular,Diesel,Manual,63.0,150000,6000.0,2009,rodado
190,215,Maruti,Baleno,658000.0,3,50000,particular,Petrol,Manual,83.1,580000,23200.0,2021,moderadamente rodado
191,216,Maruti,Wagon R,535000.0,10,58000,particular,Petrol,Manual,67.1,250000,10000.0,2014,moderadamente rodado
192,217,Hyundai,Verna,1054000.0,4,36000,particular,Petrol,Manual,105.5,650000,26000.0,2020,moderadamente rodado
193,218,Maruti,SX4,614646.3878326996,5,80000,particular,Diesel,Manual,88.5,800000,32000.0,2019,rodado
194,219,Audi,Q3,7113256.41025641,8,71000,distribuidora,Diesel,Automatic,174.33,1475000,59000.0,2016,moderadamente rodado
195,220,Maruti,Ertiga,614646.3878326996,3,30000,particular,Diesel,Manual,88.5,410000,16400.0,2021,moderadamente rodado
196,221,Ford,Ecosport,1014000.0,6,162828,distribuidora,Diesel,Manual,98.59,531000,21240.0,2018,rodado
197,222,Ford,Ecosport,1050416.6666666667,3,7500,particular,Diesel,Manual,98.96,890000,35600.0,2021,novo
198,224,Maruti,Wagon R,615000.0,3,52000,distribuidora,CNG,Manual,67.04,435000,17400.0,2021,moderadamente rodado
199,225,Ford,Figo,896000.0,9,74000,distribuidora,Diesel,Manual,68.05,185000,7400.0,2015,moderadamente rodado
200,226,Mahindra,Bolero,905000.0,10,47000,distribuidora,Diesel,Manual,62.1,440000,17600.0,2014,moderadamente rodado
201,227,Hyundai,i20,763000.0,6,50000,particular,Petrol,Manual,81.83,450000,18000.0,2018,moderadamente rodado
202,228,Maruti,Baleno,693000.0,4,100000,particular,Petrol,Manual,83.1,600000,24000.0,2020,rodado
203,229,Maruti,Celerio,512000.0,7,35000,particular,Petrol,Manual,67.04,320000,12800.0,2017,moderadamente rodado
204,230,Hyundai,i20,967624.184646262,5,50000,particular,Diesel,Manual,88.73,700000,28000.0,2019,moderadamente rodado
205,231,Ford,Aspire,685000.0,3,10000,particular,Petrol,Manual,86.8,630000,25200.0,2021,novo
206,232,Maruti,Alto,347000.0,5,10370,particular,Petrol,Manual,47.3,320000,12800.0,2019,novo
207,233,Honda,City,1268000.0,8,62000,distribuidora,Petrol,Manual,116.3,465000,18600.0,2016,moderadamente rodado
208,235,Nissan,Sunny,1690333.3333333333,8,250000,particular,Diesel,Manual,84.8,370000,14800.0,2016,rodado
209,236,Hyundai,i20,967624.184646262,5,40000,particular,Petrol,Manual,81.83,550000,22000.0,2019,moderadamente rodado
210,237,Maruti,Swift,629000.0,4,60000,particular,Petrol,Manual,81.8,445000,17800.0,2020,moderadamente rodado
211,239,Maruti,Wagon R,597000.0,8,64000,distribuidora,CNG,Manual,67.04,270000,10800.0,2016,moderadamente rodado
212,240,Nissan,Micra,1690333.3333333333,9,142587,distribuidora,Diesel,Manual,63.1,420000,16800.0,2015,rodado
213,241,Honda,City,1210698.5413290113,7,63000,distribuidora,Diesel,Manual,98.6,475000,19000.0,2017,moderadamente rodado
214,242,Toyota,Fortuner,3886000.0,6,80000,particular,Diesel,Manual,168.5,1755000,70200.0,2018,rodado
215,243,Honda,City,1268000.0,10,55000,distribuidora,Petrol,Manual,100.0,350000,14000.0,2014,moderadamente rodado
216,244,Hyundai,i20,803000.0,5,11000,distribuidora,Petrol,Manual,81.83,575000,23000.0,2019,novo
217,245,Toyota,Etios,2876695.0,5,66000,distribuidora,Diesel,Manual,67.06,466000,18640.0,2019,moderadamente rodado
218,246,Renault,KWID,381000.0,4,17000,particular,Petrol,Manual,67.0,360000,14400.0,2020,novo
219,247,Maruti,Alto,347000.0,4,25000,particular,Petrol,Manual,47.3,275000,11000.0,2020,novo
220,248,Datsun,GO,471000.0,5,33350,particular,Petrol,Manual,67.0,320000,12800.0,2019,moderadamente rodado
221,249,Maruti,Omni,614646.3878326996,21,45000,particular,Petrol,Manual,35.0,95000,0.0,2003,moderadamente rodado
222,250,Hyundai,Grand,648000.0,6,62000,distribuidora,Petrol,Manual,82.0,370000,14800.0,2018,moderadamente rodado
223,251,Honda,Brio,1210698.5413290113,8,30000,particular,Petrol,Manual,86.8,250000,10000.0,2016,moderadamente rodado
224,252,Maruti,Swift Dzire,662000.0,12,59000,particular,Petrol,Manual,85.8,275000,11000.0,2012,moderadamente rodado
225,253,Mercedes-Benz,GLA,117489928.05755396,6,20000,distribuidora,Petrol,Automatic,375.48,1950000,78000.0,2018,novo
226,254,Honda,City,1268000.0,7,86113,distribuidora,Petrol,Manual,117.3,550000,22000.0,2017,rodado
227,255,Toyota,Corolla,2876695.0,5,45000,distribuidora,Diesel,Manual,87.2,1325000,53000.0,2019,moderadamente rodado
228,256,Maruti,Swift Dzire,614646.3878326996,3,10000,particular,Diesel,Manual,74.02,750000,30000.0,2021,novo
